#NAME?,Name,Symbol,Rank,Price Usd,Price Btc,24h Volume Usd,Market Cap Usd,Available Supply,Total Supply,Max Supply,Percent Change 1h,Percent Change 24h,Percent Change 7d,Last Updated,24h Volume Btc,Market Cap Btc
bitcoin,Bitcoin,BTC,1,8306.69,1.0,5010630000.0,141568525343,17042712.0,17042712.0,21000000.0,-0.17,2.19,-2.11,1526748272,603204.164354,17042712.0
ethereum,Ethereum,ETH,2,704.88,0.0848569045,2103080000.0,70160750450.0,99535737.0,99535737.0,,-0.45,3.63,4.35,1526748257,253179.064104,8446295.0
ripple,Ripple,XRP,3,0.680318,0.0000819000,285390000.0,26661640812.0,39189968239.0,99992233977.0,100000000000,-0.22,1.96,-1.36,1526748241,34356.6450656,3209659.0
bitcoin-cash,Bitcoin Cash,BCH,4,1183.64,0.1424923766,671434000.0,20283402474.0,17136463.0,17136463.0,21000000.0,-0.49,1.05,-17.86,1526748253,80830.5113108,2441815.0
eos,EOS,EOS,5,13.0886,0.0015756697,1131640000.0,11347212707.0,866953892.0,900000000.0,1000000000.0,-0.63,4.72,-6.7,1526748253,136232.362108,1366033.0
litecoin,Litecoin,LTC,6,136.301,0.0164085815,329233000.0,7715016560.0,56602788.0,56602788.0,84000000.0,-0.19,2.64,-3.09,1526748241,39634.6799989,928771.0
cardano,Cardano,ADA,7,0.245911,0.0000296040,62854700.0,6375751843.0,25927070538.0,31112483745.0,45000000000.0,-0.13,2.64,-8.42,1526748256,7566.75643367,767544.0
stellar,Stellar,XLM,8,0.322979,0.0000388818,29215600.0,5999998858.0,18577055653.0,103946502380,,-0.01,4.28,-5.09,1526748245,3517.11692624,722309.0
iota,IOTA,MIOTA,9,1.786,0.0002150074,50673600.0,4964241085.0,2779530283.0,2779530283.0,2779530283.0,-0.67,3.82,-5.2,1526748252,6100.33599424,597620.0
tron,TRON,TRX,10,0.0692528,0.0000083370,229674000.0,4553240826.0,65748111645.0,100000000000,,-0.47,2.42,2.67,1526748255,27649.2802789,548141.0
neo,NEO,NEO,11,60.0829,0.0072330736,89793600.0,3905388500.0,65000000.0,100000000.0,100000000.0,-0.19,3.6,-7.0,1526748248,10809.7930704,470150.0
monero,Monero,XMR,12,199.238,0.0239852456,44871700.0,3197181704.0,16047048.0,16047048.0,,-0.31,2.82,-0.71,1526748243,5401.87487435,384892.0
dash,Dash,DASH,13,390.462,0.0470057267,98837700.0,3154783974.0,8079618.0,8079618.0,18900000.0,-0.56,1.59,-2.26,1526748242,11898.5660955,379788.0
nem,NEM,XEM,14,0.311718,0.0000375261,12320600.0,2805462000.0,8999999999.0,8999999999.0,,0.26,3.12,-4.46,1526748245,1483.21413222,337735.0
tether,Tether,USDT,15,1.00267,0.0001207063,2724100000.0,2513834879.0,2507140814.0,2830109970.0,,0.09,0.12,0.06,1526748246,327940.491339,302628.0
vechain,VeChain,VEN,16,4.38924,0.0005283982,79268700.0,2308928089.0,526042798.0,873378637.0,,-0.12,1.95,-3.54,1526748254,9542.75409339,277960.0
ethereum-classic,Ethereum Classic,ETC,17,17.7352,0.0021350502,162190000.0,1804635309.0,101754438.0,101754438.0,,-0.77,0.29,-0.47,1526748248,19525.2260527,217251.0
bytecoin-bcn,Bytecoin,BCN,18,0.00893667,0.0000010758,18560800.0,1643368547.0,183890481254,183890481254,184470000000,-0.37,-0.7,-4.31,1526748243,2234.43995141,197837.0
binance-coin,Binance Coin,BNB,19,14.0953,0.0016968612,146041000.0,1607446196.0,114041290.0,194972068.0,,-1.63,-3.67,10.39,1526748253,17581.1303901,193512.0
qtum,Qtum,QTUM,20,16.109,0.0019392803,127572000.0,1427365717.0,88606724.0,100606724.0,,-0.5,4.16,-0.15,1526748251,15357.741772,171833.0
zcash,Zcash,ZEC,21,352.062,0.0423829468,171637000.0,1391003563.0,3951019.0,3951019.0,,-0.5,0.45,44.15,1526748249,20662.5021519,167456.0
icon,ICON,ICX,22,3.56798,0.0004295309,22699900.0,1381633707.0,387231348.0,400228740.0,,-0.03,1.88,-8.95,1526748257,2732.72506859,166328.0
omisego,OmiseGO,OMG,23,12.7552,0.0015355334,33907700.0,1301573156.0,102042552.0,140245398.0,,-0.12,4.01,-6.28,1526748253,4081.97489012,156690.0
lisk,Lisk,LSK,24,10.7324,0.0012920188,15068800.0,1138244980.0,106056891.0,121306728.0,,0.33,4.09,5.13,1526748247,1814.05589952,137028.0
zilliqa,Zilliqa,ZIL,25,0.144056,0.0000173422,53888700.0,1049730591.0,7286961952.0,12600000000.0,,-0.41,7.86,-18.21,1526748262,6487.38546882,126372.0
bitcoin-gold,Bitcoin Gold,BTG,26,53.5697,0.0064489827,15675100.0,911448193.0,17014249.0,17114249.0,21000000.0,-0.19,2.13,-5.61,1526748258,1887.04526111,109725.0
aeternity,Aeternity,AE,27,3.85301,0.0004638442,20066900.0,897830209.0,233020472.0,273685830.0,,-0.04,2.04,0.29,1526748251,2415.75164115,108085.0
ontology,Ontology,ONT,28,7.29617,0.0008783487,62850300.0,836411776.0,114637101.0,1000000000.0,,-1.86,9.82,1.4,1526748263,7566.22674013,100691.0
